Node,Signum
N_0_0_1,-1
N_0_1_1,1
N_0_2_1,-1
N_0_3_1,NaN
N_1_0_1,-1
N_1_1_1,-1
N_1_2_1,1
N_1_3_1,NaN
N_2_0_1,1
N_2_1_1,-1
N_2_2_1,1
N_2_3_1,NaN
N_3_0_1,NaN
N_3_1_1,1
N_3_2_1,NaN
N_3_3_1,NaN
